Cluster 0:Cartoon                        Character  Cluster
     43                                      businessman        3
    232                    businessman reading newspaper        3
    233                                      businessman        3
     42                                      businessman        3
    634                                      businessman        3
    458                                      businessman        3
    622                                    businesswoman        3
    622                                      businessman        3
    360                                      businessman        3
    177                                      businessman        3
    120                                      businessman        3
    136                                      businessman        3
      5                                      businessman        3
     39                                      businessman        3
    161                                      businessman        3
    474                                      businessman        3
    474                                      businessman        3
    680                                      businessman        3
    638                                      businessman        3
    507                    businessman with large pencil        3
    157                                      businessman        3
    550                                      businessman        3
    696                                      businessman        3
    194                                      businessman        3
    156                                      businessman        3
     18                                      businessman        3
    510                                      businessman        3
    475                                      businessman        3
    249                                      businessman        3
    137                                      businessman        3
     79                                      businessman        3
     79                                    businesswoman        3
    224                                      businessman        3
    224                                      businessman        3
     14                                      businessman        3
     14                                      businessman        3
     43                                      businessman        3
    232                      businessman looking forward        3
    233                                      businessman        3
     42                                      businessman        3
    634                                   businessperson        3
    458                                      businessman        3
    622                                    businesswoman        3
    622                                      businessman        3
    360                                    businesswoman        3
    177                                      businessman        3
    462                                      businessman        3
      5                                      businessman        3
     39                                      businessman        3
     39                                      businessman        3
    161                                      businessman        3
    474                                      businessman        3
    474                                      businessman        3
    680                                      businessman        3
    638                                      businessman        3
    507                   businessman with oversized pen        3
    157                                      businessman        3
    550                                      businessman        3
    194                                      businessman        3
     74                                      businessman        3
    593                                      businessman        3
      9                                      businessman        3
      9                          businessman with a tail        3
    497                                      businessman        3
    244                                      businessman        3
     86                                      businessman        3
      2                                      businessman        3
      2                                    businesswoman        3
      2                                    businesswoman        3
    432                                      businessman        3
    170                    businessman with a coffee cup        3
    170                    businessman holding a chicken        3
    465                                      businessman        3
    672                                      businessman        3
    737                                      businessman        3
    737                                      businessman        3
    760                                      businessman        3
    633                            businessman on stairs        3
     32                           businessman in costume        3
     32                                      businessman        3
     32                                      businessman        3
    214                                      businessman        3
     65                                      businessman        3
     65                                      businessman        3
    428                                      businessman        3
     73                                      businessman        3
    384                                      businessman        3
    146                                      businessman        3
    516                  businessman with a mobile phone        3
     49                                      businessman        3
     49                         businessman with glasses        3
     49                             businessman with hat        3
    110                                      businessman        3
    239                                    businesswoman        3
    239                                      businessman        3
    393                                      businessman        3
    517                                      businessman        3
    444                                      businessman        3
    151                                      businessman        3
    385                                      businessman        3
     25                                      businessman        3
    192                                      businessman        3
    645                                      businessman        3
    215                                 tiny businessman        3
     33                                      businessman        3
    491                                      businessman        3
    242                                      businessman        3
    612                                      businessman        3
    370                                      businessman        3
    448                                      businessman        3
     29                                      businessman        3
    521                                      businessman        3
    425                                      businessman        3
    472                        businessman with chainsaw        3
    472                           businessman whispering        3

Cluster 4:Cartoon Character  Cluster
    365     horse        4
    575     horse        4
    447       dog        4
    386       dog        4
    128       dog        4
    692     horse        4
    391       dog        4
    470       dog        4
    535       dog        4
    427       dog        4
    718     horse        4
    108       dog        4
    626     horse        4
     46       dog        4
     46       dog        4
    142       dog        4
    206     horse        4
    586       dog        4
    322     horse        4
    600       dog        4
     21       dog        4
    102       dog        4
    552       dog        4
    155     horse        4
    750       dog        4
    253     horse        4
    269       dog        4
    269       dog        4
    140     horse        4
    547       dog        4
    463     horse        4
    674       dog        4
     43       dog        4
    272       dog        4
    511       dog        4
    442       dog        4
    269       dog        4
    269       dog        4
    510       dog        4
    547       dog        4
    463     horse        4
    674       dog        4
    272       dog        4
    177       dog        4
     19       dog        4
    511       dog        4
    442       dog        4
    356       dog        4
    473       dog        4
    561       dog        4
    127       dog        4
    432       dog        4
    185       dog        4
    214       dog        4
    428       dog        4
    500     horse        4
    385       dog        4
    223       dog        4

Cluster 5:Cartoon Character  Cluster
    109       man        5
    488       man        5
    719       man        5
     92       man        5
    426       man        5
    164       man        5
    543       man        5
    390       man        5
    105       man        5
    739       man        5
    693       man        5
    579       man        5
    538       man        5
    492       man        5
    168       man        5
    702       man        5
    714       man        5
    578       man        5
    128       man        5
    190       man        5
    329       man        5
    145       man        5
    515       man        5
    684       man        5
    470       man        5
    431       man        5
    574       man        5
    718       man        5
    348       man        5
    523       man        5
    763       man        5
    276       man        5
     46       man        5
    722       man        5
    103       man        5
    695       man        5
    380       man        5
    601       man        5
     77       man        5
    343       man        5
    586       man        5
     61       man        5
    119       man        5
    637       man        5
    271       man        5
    174       man        5
    477       man        5
    533       man        5
    421       man        5
     83       man        5
    358       man        5
    708       man        5
    437       man        5
    175       man        5
    677       man        5
    753       man        5
    529       man        5
    417       man        5
    339       man        5
    505       man        5
    456       man        5
    183       man        5
     63       man        5
    438       man        5
      7       man        5
    358       man        5
    510       man        5
    681       man        5
     38       man        5
    160       man        5
     96       man        5
    418       man        5
    674       man        5
    361       man        5
    459       man        5
    635       man        5
    663       man        5
    321       man        5
     15       man        5
    360       man        5
    177       man        5
     78       man        5
    570       man        5
    566       man        5
    248       man        5
    546       man        5
    511       man        5
    481       man        5
    747       man        5
     38       man        5
    160       man        5
     96       man        5
    176       man        5
    418       man        5
    674       man        5
    459       man        5
    635       man        5
     43       man        5
    663       man        5
    634       man        5
    321       man        5
     15       man        5
    675       man        5
    177       man        5
     78       man        5
    120       man        5
    570       man        5
    618       man        5
    248       man        5
    546       man        5
    454       man        5
    511       man        5
     58       man        5
    696       man        5
    481       man        5
    747       man        5
    205       man        5
    356       man        5
    213       man        5
     35       man        5
    478       man        5
    751       man        5
    751       man        5
    473       man        5
    131       man        5
    424       man        5
    577       man        5
    609       man        5
     53       man        5
    367       man        5
     12       man        5
     45       man        5
    613       man        5
    428       man        5
    347       man        5
    717       man        5
    202       man        5
    652       man        5
    594       man        5
    740       man        5
    310       man        5
    310       man        5
    557       man        5
    445       man        5
    687       man        5
    404       man        5
     49       man        5
    111       man        5
    669       man        5
    452       man        5
    556       man        5
    741       man        5
    311       man        5
    716       man        5
    653       man        5
    429       man        5
    645       man        5
    757       man        5
    757       man        5
    370       man        5
     44       man        5
    632       man        5
    327       man        5
    389       man        5
    433       man        5
    130       man        5

Cluster 6:Cartoon             Character  Cluster
    666               patient        6
    666             therapist        6
    631                  chef        6
    220                doctor        6
    144          psychiatrist        6
    144               patient        6
    742                  chef        6
    129                doctor        6
    129               patient        6
     71                doctor        6
     71               patient        6
    353               patient        6
    353                 nurse        6
    353                doctor        6
     30                doctor        6
    610                  chef        6
    651                doctor        6
    651               patient        6
    165                  cook        6
    165                  cook        6
    535                driver        6
    210               patient        6
    660                doctor        6
    230                driver        6
    748                  chef        6
    573               patient        6
    565                doctor        6
    231                doctor        6
    231               patient        6
    354                doctor        6
    207                doctor        6
     99                doctor        6
    250                doctor        6
    250               patient        6
    483             therapist        6
    179                doctor        6
    179               patient        6
    642                  chef        6
    455               patient        6
    455             therapist        6
    571                  chef        6
    208                driver        6
    272                driver        6
    419               patient        6
    419                doctor        6
    177               patient        6
    177                doctor        6
    208                driver        6
    272                driver        6
    360                  chef        6
    419               patient        6
    419                doctor        6
    602                doctor        6
    602 doctor with clipboard        6
    602        patient in bed        6
    189                doctor        6
    189               patient        6
    388               surgeon        6
    388                 nurse        6
    367               patient        6
    326          psychiatrist        6
    326               patient        6
    408                doctor        6
    756          psychiatrist        6
    107               teacher        6
    110                 nurse        6
    110               patient        6
    110                doctor        6
    262          psychiatrist        6

Cluster 7:Cartoon                                                Character  Cluster
    148                                            sumo wrestler        7
    670                                                  cyclist        7
    559                                                    diver        7
    349                                                    diner        7
    471                                              fisherwoman        7
    514                                                  cowgirl        7
    493                                                skydivers        7
    169                                           mexican cowboy        7
    647 man on water skis dressed as a revolutionary war soldier        7
    352                                            window washer        7
    368                                             motorcyclist        7
    309                                         screaming person        7
    309                                            scared person        7
    626                                                    rider        7
    705                                      cowboy on horseback        7
    725                                                   archer        7
    358                                           mover with cap        7
    358                                      mover with overalls        7
    362                                                    skier        7
    362                                                    skier        7
    227                                            window washer        7
    335                                                   jockey        7
    270                                              parachutist        7
    636                                              grim reaper        7
    661                                          skater in a cap        7
    661                                    skater with arms wide        7
    661                                   skater looking forward        7
    661                               skater with one leg lifted        7
    661                                         skater in motion        7
    661                                skater with hands on hips        7
    661                                        skater in a dress        7
    657                                                    skier        7
     76                                                   archer        7
    694                                            snow shoveler        7
    381                                              wheelbarrow        7
    728                                                sunbather        7
    114                                                lifeguard        7
    114                                                  swimmer        7
    114                                              water skier        7
    245                                                   surfer        7
    245                                         person in a boat        7
    654                                                    diner        7
    316                                                  cyclist        7
    603                                                    diner        7
    603                                                    hiker        7
    253                                          cowboy on horse        7
    480                                          cowboy on bench        7
    697                                          barefoot person        7
    551                                group of people in a boat        7
    358                                                    mover        7
    422                                            pile of trash        7
    658                                person on a rolling chair        7
    463                                                    rider        7
    623                                            packaged kite        7
    623                                               small kite        7
    622                                               grill cook        7
    675                                           deep sea diver        7
      5                                                   surfer        7
    589                                                    diner        7
    395                                            chimney sweep        7
    510                                            person eating        7
    463                                                    rider        7
    675                                                    diver        7
    566                                              two sailors        7
      5                                                   surfer        7
    589                                                    diner        7
    439                                             subway train        7
     62                                           person jumping        7
    598                                                    hiker        7
    520                                              banana peel        7
    609                                                 sandwich        7
    388                                         accordion player        7
    737                                        beanstalk climber        7
    633                                            girl on slide        7
    633                                      person sliding down        7
    721                                               toy shovel        7
    721                                               toy bucket        7
    582                                                  cyclist        7
    652                                           dessert island        7
    629                                      female rock climber        7
    500                                             young cowboy        7
    453                                              bullfighter        7
    541                                              grim reaper        7
    444                                                    rower        7
    346                                             flying angel        7
    491                                  swimmer on diving board        7
    491                                                lifeguard        7
    491                                          person on slide        7
    491                                          person swimming        7
    242                                                lifeguard        7
    235                                                ballerina        7
    274                                                ballerina        7
    761                                              grim reaper        7
     52                                                    rower        7

Cluster 8:Cartoon            Character  Cluster
    723    fish in fish tank        8
    467       bird in a cage        8
    467                birds        8
    133         flying birds        8
    758                 tree        8
    164                goats        8
    144                 fish        8
    451                  pig        8
    502                 tree        8
    447             goldfish        8
    410               beaver        8
    410               beaver        8
    191                sheep        8
    191                sheep        8
    650                 lamp        8
    611               pigeon        8
    240                 bird        8
    539              lemming        8
    539             lemmings        8
    485                  cow        8
    692                sheep        8
    692                  cow        8
    104                 cows        8
    503             reindeer        8
    503             reindeer        8
    759                 fish        8
    759   fish in a fishbowl        8
    759       school of fish        8
    562                 fish        8
    562                 bird        8
    519                birds        8
    441                 fish        8
    441 various smaller fish        8
    103                 bird        8
    251         flying birds        8
    314                 bird        8
    355               turkey        8
    322                  ant        8
    733                sheep        8
    174                 bird        8
     94           flying cow        8
    532                birds        8
    564                  owl        8
    437                 bird        8
    437       oversized bird        8
    460               parrot        8
    460               parrot        8
    749               rabbit        8
    509                 fish        8
    323              peacock        8
    323            two birds        8
    641                sheep        8
    587                 deer        8
    712                 toad        8
    750                sheep        8
    750                sheep        8
      8                 fish        8
    341                geese        8
    746                 bird        8
    316                 bird        8
    228              raccoon        8
    228             squirrel        8
    228            porcupine        8
    551                 wave        8
    564                 owls        8
    402                 deer        8
    402                 deer        8
    121              flowers        8
    176              chicken        8
    623                 kite        8
    570                birds        8
    136                 bird        8
     23            butterfly        8
    402                 deer        8
    402                 deer        8
    121                 ants        8
    176                 bird        8
    570                birds        8
    618             antelope        8
     23            butterfly        8
    127                 bird        8
     12                 bird        8
    351                sheep        8
    106               plants        8
    653                 bird        8
    389                 fish        8
    576                 tree        8
    576               cocoon        8
    167                 bird        8
    167                 frog        8

Cluster 9:Cartoon                  Character  Cluster
    689        knight on horseback        9
    148                     knight        9
    762                   tortoise        9
    332                sea monster        9
    220                    giraffe        9
    430                       bull        9
    575        knight on horseback        9
    133      caveman holding stick        9
    133           caveman pointing        9
    133 caveman with hands on hips        9
    133           standing caveman        9
    133   two conversing cavewomen        9
    308                    caveman        9
    308                  cavewoman        9
    471                     sharks        9
    543                   elephant        9
    555        shark with a hammer        9
    555                      shark        9
    312                       lion        9
    129                      robot        9
    200                    monster        9
    580                       king        9
    646          mythical creature        9
    703                  crocodile        9
    241                      shark        9
    611                   gargoyle        9
    755                    caveman        9
    217                     monkey        9
     89                       lion        9
     89                      camel        9
    738                     aliens        9
    692                     dragon        9
    329          dinosaur skeleton        9
    145             giant creature        9
    684                   dinosaur        9
    684 dinosaur with a spiky back        9
    470                      ghost        9
    165                       king        9
    427                     zombie        9
    132                     viking        9
    523                     monkey        9
    523                     monkey        9
    108                    caveman        9
    671             woolly mammoth        9
    671                    caveman        9
    671                    caveman        9
    333                    caveman        9
    333                  cavewoman        9
    519                     hunter        9
    115                     knight        9
    729                       king        9
    457                    cavemen        9
    380                   giraffes        9
    590                     dragon        9
    206                    centaur        9
    139                       lion        9
    139                    lioness        9
    660                       king        9
    621                     knight        9
    508                      shark        9
    226               alien doctor        9
    676     caveman with a spatula        9
    676                  cavewoman        9
    676          two cave children        9
    676                   cave dog        9
    318              giant chicken        9
    524                     knight        9
    524                     dragon        9
    477                        pen        9
    532                      whale        9
      7                       moon        9
    708                      robot        9
     95                      tiger        9
    509                       bear        9
    724                   dinosaur        9
    753                      whale        9
    712                   dinosaur        9
    712                   skeleton        9
    745                      snail        9
    315                      giant        9
     21                     hunter        9
    505                  crocodile        9
    155                     knight        9
    357           crossword puzzle        9
    341                   tortoise        9
    678                    giraffe        9
    678                    giraffe        9
      7                       moon        9
      7                       moon        9
      7                       moon        9
    506                     knight        9
    639                     dragon        9
    394                    centaur        9
    394                      snail        9
    402         prehistoric person        9
    530                       king        9
    475                    caveman        9
      4             giant monsters        9
    422                     turtle        9
    434                   munchkin        9
    434                    tin man        9
    434              cowardly lion        9
    674                    monster        9
    635                     knight        9
    320          medieval soldiers        9
    398                      snake        9
    399        knight on horseback        9
    399        knight on horseback        9
    726                  giant ant        9
    458                     sphinx        9
     54                    caveman        9
     54                    caveman        9
    462 caveman in modern clothing        9
    462       caveman with a spear        9
    462           standing caveman        9
    462         conversing cavemen        9
    161                  alligator        9
    403                   elephant        9
    680                       bear        9
    141                      demon        9
    679                       king        9
    679                     knight        9
    506                     knight        9
    639                     dragon        9
    394                    centaur        9
    394                      snail        9
    530                       king        9
    475                    caveman        9
      4             giant monsters        9
    422                     turtle        9
    434                    tin man        9
    434                       lion        9
    674                   werewolf        9
    635                     knight        9
    398                      snake        9
    399        knight on horseback        9
    726               giant insect        9
    458                     sphinx        9
     54                    caveman        9
     54                    caveman        9
    462       caveman with a spear        9
    462 caveman with hands on hips        9
    462 caveman with hands crossed        9
    462       caveman with a stick        9
    618                    unicorn        9
    618                 rhinoceros        9
    161                  alligator        9
    403                   elephant        9
    116               alien editor        9
    680                       bear        9
    679                       king        9
    679                     knight        9
    244                  alligator        9
     69                    caveman        9
    222                    mermaid        9
    756                  chameleon        9
     65                      robot        9
    582                     monkey        9
    717                    giraffe        9
     73                  cavewoman        9
    740                       bull        9
    486             viking warrior        9
    486             viking warrior        9
    412                    mermaid        9
    557                      snake        9
    445                monster car        9
    453                       bull        9
    238   caveman juggling torches        9
    238                    caveman        9
    238                    caveman        9
    392                    caveman        9
    392                   dinosaur        9
    668                     dragon        9
    668                     knight        9
    405              giant chicken        9
    110                      robot        9
    106                   creature        9
    556                      robot        9
    487                   werewolf        9
    311               hippopotamus        9
    604              cave elephant        9
    604            prehistoric man        9
    700                    centaur        9
    215                      giant        9
    665                      shark        9
    720                    caveman        9
    262                    unicorn        9
    327                sea monster        9
    624                    vampire        9
    624                   skeleton        9
    736                   dinosaur        9
     52                      shark        9
    599                    caveman        9
    599                  cavewoman        9
    599                   dinosaur        9
    560                    caveman        9
    560            dinosaur fossil        9
    167                  alligator        9
    167                       bear        9
    167       crocodile with stick        9

Cluster 10:Cartoon                                                                  Character  Cluster
    349                                                                   waitress       10
    349                                                                   customer       10
    758                                                   person at lemonade stand       10
    200                                                              receptionist$       10
    186                                                                  followers       10
    578                                                            group of people       10
    153                                                  group of workers clapping       10
    153                                                        observer at doorway       10
    407                                                                  onlookers       10
    489                                           i can't assist with that request       10
    528                                                           audience members       10
    656                                                                     reader       10
    617                                                         people watching tv       10
    709                                                          distressed people       10
     82                                           i can't provide that information       10
    134                                                        charging smartphone       10
    749                                                                  onlookers       10
    374                                                                    speaker       10
    374                                                                     guests       10
    704                                                                   customer       10
    704                                                                  bystander       10
    342                                               complaints department worker       10
    496                                                                   neighbor       10
    711                                                                  spectator       10
    603                                                                     diners       10
    480                                                        onlookers with hats       10
    414                                                                   customer       10
    414                                                                   customer       10
    134                                                             charging robot       10
    117 i can't help with identifying or making assumptions about people in images       10
    571                                                                  customers       10
    336                                                           audience members       10
    265                                                                   customer       10
    320                                                              castle towers       10
    233                                                                   mobsters       10
    337                                                              unfortunately       10
    337                                          i cannot assist with that request       10
    675                                                                  partygoer       10
    675                                                                 partygoers       10
    209                                                                     patron       10
    209                                                            standing patron       10
     58                                                            adult listening       10
    199                                                        people in courtroom       10
    336                                                           audience members       10
    265                                                                   customer       10
    398                                                                    visitor       10
    209                                                                     patron       10
    209                                                            standing patron       10
    710                                                                  spectator       10
    465                                                          distressed people       10
    625                                                                 spectators       10
    701                                                                   waitress       10
    701                                                                  customers       10
    255                                                                     client       10
    107                                                    student sitting at desk       10
    107                                             student standing at blackboard       10
    147                                                            court attendees       10
    517                                                     adult audience members       10
    203                                     i'm unable to provide this information       10
     64                                                 spectator with foam finger       10
     64                                                                 spectators       10
    491                                                              two prisoners       10
    184                                                                     patron       10
    184                                                          customer entering       10
    409                                                           three spectators       10
    448                                                                empty chair       10
    366                                                                   customer       10
    464                                                           audience members       10
     68                                                                 bystanders       10
     68                                                           people in a cafe       10
    188                                                           audience members       10

Cluster 11:Cartoon                                                                                                    Character  Cluster
    723                                                                                       dog playing the guitar       11
    723                                                                                     dog playing the keyboard       11
    236                                                                                        walrus in an armchair       11
    735                                                                                               groom figurine       11
    735                                                                                               bride figurine       11
    109                                                                                        sea star (cartoonish)       11
    172                                                                                                 moai statues       11
    172                                                                                                 smiling face       11
     92                                                                                      anthropomorphic dolphin       11
    685                                                                                     bear wearing a party hat       11
    328                                                                                          insect-like figures       11
    739                                                                                       dog dressed as a human       11
    200                                                                                     person in a bear costume       11
    715                                                                                        anthropomorphic globe       11
    216                                                                                            fairy with hammer       11
    538                                                                                                    giant cat       11
     31                                                                                         anthropomorphic bull       11
     70                                                                                                     two dogs       11
    190                                                                                                  bull statue       11
    190                                                                                               ostrich statue       11
    485                                                                                        golf bag-wearing bull       11
    503                                                                                                  santa claus       11
    684                                                                                  dinosaur in a business suit       11
    684                                                                                      dinosaur with a necktie       11
    684                                                                                       dinosaur playing piano       11
    112                                                                there are no characters to list in this image       11
    407                                                                                          adults in a sandbox       11
      1                                                                                    person in a mouse costume       11
    427                                                                                                zombie couple       11
    348                                                                                                      statues       11
    325                                                                                                 moai statues       11
    396                                                                                                  statue head       11
    441                                                                                                fish skeleton       11
    695                                                                                      anthropomorphized toast       11
    744                                                                                           dog wearing a cone       11
    590                                                                                               humanoid birds       11
    590                                                                                                humanoid bird       11
    713                                                                                      various pieces of candy       11
    355                                                                             turkey wearing fishnet stockings       11
