Cartoon,Setting,Cluster
420,a courtroom,8
239,a courtroom,8
664,a courtroom,8
274,a bar,9
702,a barber shop,9
31,A bar,9
184,a bar,9
49,a bar,9
209,a bar,9
156,a bar,9
178,a bar,9
120,a bar,9
596,bar,9
115,bar,9
628,a bar,9
715,a bar,9
497,a bar,9
366,a barber shop,9
9,the bar,9
387,a bar,9
439,the bar,9
130,the yard,10
739,outside,10
292,the backyard,10
82,Garden of Eden,10
738,a back yard,10
237,outside,10
172,outside,10
437,a backyard,10
350,a front yard lawn,10
726,outside,10
687,the patio,10
491,the backyard,10
105,a backyard,10
574,the backyard,10
637,a yard,10
747,the backyard,10
496,the front yard,10
682,lawn,10
323,the grass,10
694,the front yard,10
755,a cave dwelling,11
560,a cave dwelling,11
683,stone age,11
462,stoneage,11
746,a prehistoric setting.,11
693,a laboratory,12
218,a bathroom,12
716,the kitchen,12
556,a kitchen,12
708,the ktichen,12
522,lab,12
423,a bathroom,12
106,a laboratory,12
404,bathroom,12
221,kitchen,12
734,a bathroom,12
265,the kitchen,12
585,kitchen,12
663,the kitchen,12
730,a laboratory,12
84,the bathroom,12
677,kitchen,12
196,a laboratory,12
132,the kitchen,12
402,plains,13
500,plains,13
678,plains,13
253,plains,13
514,plains,13
511,a residential walkway,14
698,a sidewalk,14
525,a city sidewalk,14
356,the sidewalk,14
638,the sidewalk,14
521,the sidewalk,14
360,the sidewalk,14
586,the sidewalk,14
162,the sidewalk,14
681,sidewalk,14
751,the sidewalk,14
328,a sidewalk,14
308,a cave,15
108,a cave,15
614,cliff,15
599,a cave,15
539,a cliff,15
629,rock wall,15
598,a cave,15
475,a cave,15
604,a cave,15
671,cave,15
590,a cave,15
676,a cave,15
603,a cliff side,15
133,a cave,15
276,a restaurant,16
571,restaurant,16
659,a restaurant,16
232,a dinner table,16
516,restaurant,16
15,a restaurant,16
703,restaurant,16
554,a restaurant,16
680,a restaurant,16
654,restaurant,16
589,restaurant,16
168,a restaurant,16
446,a restaurant,16
635,a restaurant,16
760,a restaurant,16
374,a restaurant,16
390,a restaurant,16
481,a restaurant,16
701,a restaurant,16
696,a dinner table,16
349,a diner,16
163,a restaurant,16
389,a restaurant table,16
578,a restaurant,16
141,heaven,17
535,the ocean,17
737,clouds,17
346,heavan,17
529,the ground,17
526,heavan,17
393,clouds,17
665,the ocean,17
16,hell,17
555,the sea,17
104,heaven,17
606,in the sky,17
211,the moon,17
620,heaven,17
562,ocean,17
454,the gates of heaven,17
759,the ocean,17
341,the sky,17
493,the sky,17
270,the sky,17
316,heaven,17
118,heaven,17
441,the sea,17
251,heaven,17
52,the ocean,17
94,heaven,17
488,the moon,17
617,hell,17
348,a beach,18
580,a kingdom,18
679,kingdom,18
337,an island,18
427,a zombie apocalypse,18
546,an island,18
542,a village,18
380,an ocean,18
532,an island,18
325,easter island,18
417,a suspension bridge,18
720,a mountain,18
673,a remote location,18
463,an island,18
406,a small island,18
242,a beach,18
241,an island,18
412,an island,18
503,north pole,18
530,a kingdom,18
114,a beach,18
652,an island,18
101,the side of a building,19
320,the castle gates,19
72,outside a building,19
352,the outside of a building,19
11,the outside of a house,19
398,the front door,19
707,the front door,19
541,the front door,19
627,a ledge of a building,19
160,outside of a home,19
505,the front door,19
12,the side of a building,19
504,the front door,19
131,outside a home,19
758,the front door,19
195,the front door,19
,,
338,a residential home,20
240,home,20
518,a rooftop,20
78,prison,20
692,store,20
512,a yoga studio,20
392,a yoga studio,20
602,hospital,20
608,a church,20
171,a butcher shop,20
735,a counter,20
208,a car,20
749,rooftop,20
23,two branches,20
443,a demolition site,20
145,a building,20
198,a car,20
595,a department store,20
612,a crime scene,20
639,Rapunzel's tower,20
258,a wedding,20
753,a grocery store,20
192,a tv show set,20
719,apartment complex,20
722,a residential home,20
508,a police station,20
762,hamster cage,20
245,a teacup,20
648,stage,20
723,a recording studio,20
538,a table,20
129,hospital,20
742,Art Gallery,20
763,gas station,20
148,police prescient,20
394,a temple,20
584,at a work location,20
688,a party,20
223,laundromat,20
587,museum,20
704,elevator,20
668,castle,20
667,on the floor,20
400,a city skyline,20
121,factory,20
740,a china shop,20
3,a call center,20
675,a party,20
36,Work,20
445,a car dealership,20
25,an art gallery,20
653,a dinner party,20
113,a hotel,20
110,a hospital,20
561,an empty scene,20
201,building top,20
573,the hospital,20
695,a reservation booth,20
490,a hospital,20
709,an elevator,20
361,a hospital bed,20
405,a butcher shop,20
370,a party,20
700,a pharmacy,20
636,a construction site,20
175,nowhere,20
607,funeral,20
161,an interview,20
414,an electronics store,20
610,a prison,20
754,a fire station,20
611,roof,20
379,a bird's nest,20
329,museum,20
729,a royal chamber,20
229,a senate hearing,20
367,a funeral home,20
451,a feed box,20
717,apartment flat,20
345,a morgue,20
567,a mattress,20
210,a construction site,20
431,an art gallery,20
260,a bank,20
710,a nest,20
116,a cartoon editor's office,20
38,a house,20
568,a party,20
662,a wedding,20
149,house,20
655,auditorium,20
119,a nursery,20
126,an art gallery,20
45,a school,20
643,A piano recital,20
621,a tailor,20
68,a factory,20
342,a reception window,20
640,an empty space,20
26,a stage in a theater,20
713,a auto repair shop,20
74,an apartment building,20
690,an elevator,20
188,Piano Recital,20
724,a book signing,20
1,a research facility,20
,,
519,forest,21
422,a forest,21
167,the forest,21
467,a tree,21
706,a forest,21
103,a forest,21
557,the jungle,21
685,the forest,21
87,the woods,21
410,the forest,21
174,a tree,21
576,a tree,21
,,
619,a corporate office,22
712,an office building,22
143,an office building,22
214,a corporate executive's office,22
459,an office,22
138,a business  office,22
27,work office,22
32,an office,22
583,office,22
563,office,22
146,work office,22
47,an office,22
534,office,22
465,office,22
244,office,22
372,office,22
425,work office,22
369,office,22
228,the sheriff's office,22
59,office,22
173,an office building,22
474,an office,22
658,a workplace,22
224,the executive's office,22
507,office,22
249,a corporate office,22
549,an office,22
513,a workplace,22
227,an office,22
318,an office,22
407,an office space,22
430,an office,22
363,an office,22
550,an office,22
136,a business office,22
616,the office,22
42,an office,22
498,a corporate office,22
632,a police office,22
544,an office desk,22
73,an office,22
262,office,22
95,an office,22
458,an office building,22
107,an office,22
18,an office,22
77,office,22
,,
457,a galley ship,23
127,a dock,23
559,a pirate ship,23
501,a sailboat,23
566,a ship,23
339,an airplane,23
197,airport,23
334,a passenger airplane,23
631,airplane,23
378,ship,23
109,airplane,23
748,inside a whale,23
551,sea,23
180,at sea,23
471,ice berg,23
39,an airplane,23
600,a UFO,23
