Cluster 0:
Cartoon                 Character  Cluster
    233                                      businessman        1
     42                                      businessman        1
    634                                   businessperson        1
    458                                      businessman        1
    622                                    businesswoman        1
    622                                      businessman        1
    360                                    businesswoman        1
    177                                      businessman        1
    462                                      businessman        1
      5                                      businessman        1
     39                                      businessman        1
     39                                      businessman        1
    161                                      businessman        1
    474                                      businessman        1
    474                                      businessman        1
    680                                      businessman        1
    638                                      businessman        1
    507                   businessman with oversized pen        1
    157                                      businessman        1
    550                                      businessman        1
    194                                      businessman        1
     74                                      businessman        1
    593                                      businessman        1
      9                                      businessman        1
      9                          businessman with a tail        1
    497                                      businessman        1
    244                                      businessman        1
     86                                      businessman        1
      2                                      businessman        1
      2                                    businesswoman        1
      2                                    businesswoman        1
    432                                      businessman        1
    170                    businessman with a coffee cup        1
    170                    businessman holding a chicken        1
    465                                      businessman        1
    672                                      businessman        1
    737                                      businessman        1
    737                                      businessman        1
    760                                      businessman        1
    633                            businessman on stairs        1
     32                           businessman in costume        1
     32                                      businessman        1
     32                                      businessman        1
    214                                      businessman        1
     65                                      businessman        1
     65                                      businessman        1
    428                                      businessman        1
     73                                      businessman        1
    384                                      businessman        1
    146                                      businessman        1
    516                  businessman with a mobile phone        1
     49                                      businessman        1
     49                         businessman with glasses        1
    110                                      businessman        1
    239                                    businesswoman        1
    239                                      businessman        1
    393                                      businessman        1
    517                                      businessman        1
    444                                      businessman        1
    151                                      businessman        1
    385                                      businessman        1
     25                                      businessman        1
    192                                      businessman        1
    645                                      businessman        1
    215                                 tiny businessman        1
     33                                      businessman        1
    491                                      businessman        1
    242                                      businessman        1
    612                                      businessman        1
    370                                      businessman        1
    448                                      businessman        1
     29                                      businessman        1
    521                                      businessman        1
    425                                      businessman        1
    472                        businessman with chainsaw        1
    472                           businessman whispering        1

Cluster 2:
Cartoon          Character  Cluster
    735     groom figurine        2
    735     bride figurine        2
    530            pageboy        2
    662         bridesmaid        2
    662          officiant        2
    662              bride        2
    662              groom        2
    662          groomsman        2
    639           princess        2
    662         bridesmaid        2
    662          officiant        2
    662              bride        2
    662              groom        2
    662          groomsman        2
    452 marriage counselor        2
    757             couple        2
    673           princess        2
    258          officiant        2
    258              groom        2
    258              bride        2

Cluster 3:
Cartoon                             Character  Cluster
    758                       man with beanie        3
    758                        boy with a cap        3
    685              bear wearing a party hat        3
    387 person with a paper bag on their head        3
    542                 gentleman with a cane        3
    734                     man with a fedora        3
     11                   man with cowboy hat        3
    260                     person with a hat        3
    247                       man with a cane        3
     16                 man with hat and cane        3
     16                          man with hat        3
     16                       man holding hat        3
    358                        mover with cap        3
    572                     person with a hat        3
    525                   man with peaked cap        3
    698                        man with a hat        3
    698                      man with a crown        3
    661                       skater in a cap        3
    568               man with bucket on head        3
    440            baseball player with a hat        3
    440         baseball player holding a bat        3
    440       baseball player holding a glove        3
    397            baseball player with a bat        3
    397          baseball player with a glove        3
    480                    man with a top hat        3
    480              man in top hat with cane        3
    480                   onlookers with hats        3
    623                  man in captain's hat        3
    623                   man with peaked cap        3
    209                 man with rooster head        3
    566                        man with a hat        3
    383                  pedestrian with cane        3
    383                   pedestrian with bag        3
    510                    person with a cane        3
    571                          man with cap        3
    434                            boy in hat        3
    623                          man with cap        3
    623                          man with hat        3
    659                    blender-headed man        3
    209       walking man with a rooster head        3
    435                     adult with a cane        3
    566                    man with a top hat        3
    383               pedestrian with a stick        3
     49                  businessman with hat        3
    413                     man in bowler hat        3
     72                       man with a cane        3
    167                          man with hat        3

Cluster 4:
Cartoon Character  Cluster
    236     woman        4
    631     woman        4
    518     woman        4
     10     woman        4
    332     woman        4
    627     woman        4
    109     woman        4
    109     woman        4
    488     woman        4
    719     woman        4
     92     woman        4
    543     woman        4
    390     woman        4
    105     woman        4
    693     woman        4
    484     woman        4
    742     woman        4
    579     woman        4
    650     woman        4
    703     woman        4
    353     woman        4
    353     woman        4
    492     woman        4
    168     woman        4
    610     woman        4
    755     woman        4
    714     woman        4
    597     woman        4
    578     woman        4
     70     woman        4
    743     woman        4
    387     woman        4
    446     woman        4
    391     woman        4
    470     woman        4
    132     woman        4
    431     woman        4
    574     woman        4
    348     woman        4
    523     woman        4
    108     woman        4
    364     woman        4
    763     woman        4
    276     woman        4
    149     woman        4
     11     woman        4
     46     woman        4
    722     woman        4
    688     woman        4
    379     woman        4
    396     woman        4
    512     woman        4
    338     woman        4
    292     woman        4
    103     woman        4
    553     woman        4
    380     woman        4
    601     woman        4
    343     woman        4
    713     woman        4
    119     woman        4
      6     woman        4
    477     woman        4
    476     woman        4
    533     woman        4
    421     woman        4
     83     woman        4
      7     woman        4
    564     woman        4
    358     woman        4
    437     woman        4
    749     woman        4
     40     woman        4
    231     woman        4
    138     woman        4
    568     woman        4
    657     woman        4
     21     woman        4
    339     woman        4
     34     woman        4
    183     woman        4
     63     woman        4
    592     woman        4
    746     woman        4
    414     woman        4
      7     woman        4
      7     woman        4
      7     woman        4
    564     woman        4
    358     woman        4
      7     woman        4
    156     woman        4
    510     woman        4
    681     woman        4
     38     woman        4
    160     woman        4
    475     woman        4
     96     woman        4
    418     woman        4
    731     woman        4
    459     woman        4
     14     woman        4
    398     woman        4
    232     woman        4
    726     woman        4
    376     woman        4
    634     woman        4
    321     woman        4
     15     woman        4
    360     woman        4
    659     woman        4
     78     woman        4
    435     woman        4
    566     woman        4
    423     woman        4
    248     woman        4
     39     woman        4
    696     woman        4
    481     woman        4
    747     woman        4
    156     woman        4
    681     woman        4
     38     woman        4
    160     woman        4
     96     woman        4
    418     woman        4
    731     woman        4
    623     woman        4
    459     woman        4
     14     woman        4
    376     woman        4
    634     woman        4
    321     woman        4
     15     woman        4
    225     woman        4
    675     woman        4
    675     woman        4
    659     woman        4
     78     woman        4
    423     woman        4
    248     woman        4
     39     woman        4
     58     woman        4
    696     woman        4
    481     woman        4
    747     woman        4
    439     woman        4
    356     woman        4
    213     woman        4
     35     woman        4
    478     woman        4
    751     woman        4
    536     woman        4
    473     woman        4
    131     woman        4
    424     woman        4
    648     woman        4
    577     woman        4
    432     woman        4
    520     woman        4
    609     woman        4
     53     woman        4
    367     woman        4
    737     woman        4
     45     woman        4
    428     woman        4
    347     woman        4
    202     woman        4
    652     woman        4
    594     woman        4
    740     woman        4
    310     woman        4
    557     woman        4
    445     woman        4
    150     woman        4
    687     woman        4
     49     woman        4
    541     woman        4
    111     woman        4
    405     woman        4
    540     woman        4
    669     woman        4
    517     woman        4
    192     woman        4
    741     woman        4
    311     woman        4
    716     woman        4
    653     woman        4
    645     woman        4
     33     woman        4
    757     woman        4
    370     woman        4
    262     woman        4
    327     woman        4
     13     woman        4
    223     woman        4
     29     woman        4
    521     woman        4
    171     woman        4
    126     woman        4
    576     woman        4
    433     woman        4
    649     woman        4
    130     woman        4
    537     woman        4

Cluster 5:
Cartoon                    Character  Cluster
    735                man in tuxedo        5
    125                  man in suit        5
    200     person in a bear costume        5
    684  dinosaur in a business suit        5
     93 person in a business meeting        5
     93 person in a business meeting        5
     11           man with briefcase        5
    260           person with a coat        5
    752 elderly man with a briefcase        5
     16             man with bow tie        5
    135        man in suit with bomb        5
    135                  man in suit        5
    135         man in casual attire        5
    163                man at podium        5
    354         man dressed as plant        5
     34     person in a bear costume        5
    357                  man in suit        5
    199    man in uniform with badge        5
    199  man in uniform with glasses        5
    232                  man in suit        5
    377                man in a robe        5
    618                  man in suit        5
    619                  man in suit        5
    619                  man in suit        5
    727                   man in tie        5
    229       man standing at podium        5
    690                cat in a suit        5
    583           man with briefcase        5
    274                man in a coat        5
    219                 men in suits        5
    167                man at podium        5

Cluster 6:
Cartoon                  Character  Cluster
    133      caveman holding stick        6
    133           caveman pointing        6
    133 caveman with hands on hips        6
    133           standing caveman        6
    133   two conversing cavewomen        6
    308                    caveman        6
    308                  cavewoman        6
    755                    caveman        6
    108                    caveman        6
    671                    caveman        6
    671                    caveman        6
    333                    caveman        6
    333                  cavewoman        6
    457                    cavemen        6
    676     caveman with a spatula        6
    676                  cavewoman        6
    676          two cave children        6
    676                   cave dog        6
    402         prehistoric person        6
    475                    caveman        6
     54                    caveman        6
     54                    caveman        6
    462 caveman in modern clothing        6
    462       caveman with a spear        6
    462           standing caveman        6
    462         conversing cavemen        6
    475                    caveman        6
     54                    caveman        6
     54                    caveman        6
    462       caveman with a spear        6
    462 caveman with hands on hips        6
    462 caveman with hands crossed        6
    462       caveman with a stick        6
     69                    caveman        6
     73                  cavewoman        6
    238   caveman juggling torches        6
    238                    caveman        6
    238                    caveman        6
    392                    caveman        6
    604            prehistoric man        6
    720                    caveman        6
    599                    caveman        6
    599                  cavewoman        6
    560                    caveman        6

Cluster 7:
Cartoon Character  Cluster
    109       man        7
    488       man        7
    719       man        7
     92       man        7
    426       man        7
    164       man        7
    543       man        7
    390       man        7
    105       man        7
    739       man        7
    693       man        7
    579       man        7
    538       man        7
    492       man        7
    168       man        7
    702       man        7
    714       man        7
    578       man        7
    128       man        7
    190       man        7
    329       man        7
    145       man        7
    515       man        7
    684       man        7
    470       man        7
    431       man        7
    574       man        7
    718       man        7
    348       man        7
    523       man        7
    763       man        7
    276       man        7
     46       man        7
    722       man        7
    103       man        7
    695       man        7
    380       man        7
    601       man        7
     77       man        7
    343       man        7
    586       man        7
     61       man        7
    119       man        7
    637       man        7
    271       man        7
    174       man        7
    477       man        7
    533       man        7
    421       man        7
     83       man        7
    358       man        7
    708       man        7
    437       man        7
    175       man        7
    677       man        7
    753       man        7
    529       man        7
    417       man        7
    339       man        7
    505       man        7
    456       man        7
    183       man        7
     63       man        7
    438       man        7
      7       man        7
    358       man        7
    510       man        7
    681       man        7
     38       man        7
    160       man        7
     96       man        7
    418       man        7
    674       man        7
    361       man        7
    459       man        7
    635       man        7
    663       man        7
    321       man        7
     15       man        7
    360       man        7
    177       man        7
     78       man        7
    570       man        7
    566       man        7
    248       man        7
    546       man        7
    511       man        7
    481       man        7
    747       man        7
     38       man        7
    160       man        7
     96       man        7
    176       man        7
    418       man        7
    674       man        7
    459       man        7
    635       man        7
     43       man        7
    663       man        7
    634       man        7
    321       man        7
     15       man        7
    675       man        7
    177       man        7
     78       man        7
    120       man        7
    570       man        7
    618       man        7
    248       man        7
    546       man        7
    454       man        7
    511       man        7
     58       man        7
    696       man        7
    481       man        7
    747       man        7
    205       man        7
    356       man        7
    213       man        7
     35       man        7
    478       man        7
    751       man        7
    751       man        7
    473       man        7
    131       man        7
    424       man        7
    577       man        7
    609       man        7
     53       man        7
    367       man        7
     12       man        7
     45       man        7
    613       man        7
    428       man        7
    347       man        7
    717       man        7
    202       man        7
    652       man        7
    594       man        7
    740       man        7
    310       man        7
    310       man        7
    557       man        7
    445       man        7
    687       man        7
    404       man        7
     49       man        7
    111       man        7
    669       man        7
    452       man        7
    556       man        7
    741       man        7
    311       man        7
    716       man        7
    653       man        7
    429       man        7
    645       man        7
    757       man        7
    757       man        7
    370       man        7
     44       man        7
    632       man        7
    327       man        7
    389       man        7
    433       man        7
    130       man        7

Cluster 8:
Cartoon                     Character  Cluster
    723                sound engineer        8
    689                police officer        8
    148                police officer        8
    627                        waiter        8
    365                       sheriff        8
    365            motorcycle officer        8
    719                   salesperson        8
    349                         diner        8
     84                       janitor        8
    164                   firefighter        8
    113                 cleaning lady        8
    406                       plumber        8
    200                 receptionist$        8
    715                     bartender        8
    580                         guard        8
    703                        waiter        8
    168                        waiter        8
    754                   firefighter        8
    702                        barber        8
    352                 window washer        8
    578                        waiter        8
    606                         pilot        8
    606                      co-pilot        8
    738                 groundskeeper        8
    104                police officer        8
    554                     bartender        8
    165              military officer        8
    173                       janitor        8
    221                       workman        8
    688              military officer        8
    372                 office worker        8
    115                     bartender        8
    729                         guard        8
    512                  delivery boy        8
    197                         pilot        8
    178                     bartender        8
    314                     bartender        8
    713                police officer        8
    586                vacuum cleaner        8
    181           construction worker        8
    247               delivery person        8
    637                 groundskeeper        8
    363                      employee        8
    363                     secretary        8
    318                 office worker        8
    318                 office worker        8
    461              airline employee        8
    436                 office worker        8
    573            medical technician        8
    421                       barista        8
    122                police officer        8
    227                 window washer        8
    266 construction worker on ladder        8
    636           construction worker        8
    548                         pilot        8
    548                police officer        8
    616                 office worker        8
     37                court reporter        8
    704                        waiter        8
    342  complaints department worker        8
    114                     lifeguard        8
    479                    politician        8
    654                        waiter        8
    654                         diner        8
    592                 office worker        8
    603                         diner        8
    603                 office worker        8
    382                         pilot        8
    228                       sheriff        8
    414                      salesman        8
    443           construction worker        8
    506                   executioner        8
    160             real estate agent        8
    567                   news anchor        8
    588                      gardener        8
    121                police officer        8
    121              security officer        8
    571                        waiter        8
    199                         juror        8
    265                      mechanic        8
    622                    grill cook        8
    225                         pilot        8
    225                      co-pilot        8
    225              flight attendant        8
    527                   firefighter        8
    198                         pilot        8
    198                      co-pilot        8
    209                     bartender        8
    209                        patron        8
      5                  receptionist        8
    589                         diner        8
    589                        waiter        8
    395                 chimney sweep        8
    395                     homeowner        8
    507         office worker at desk        8
    229                      lecturer        8
    506                   executioner        8
    160             real estate agent        8
    530                   executioner        8
    475              limousine driver        8
    567              newscaster on tv        8
    121                police officer        8
    121                factory worker        8
    199               police officers        8
    199                court reporter        8
    265                      mechanic        8
    398                     homeowner        8
    225                         pilot        8
    225                      co-pilot        8
    527                   firefighter        8
    198                         pilot        8
    198                      co-pilot        8
    209                     bartender        8
    209                        patron        8
      5                  receptionist        8
    589                         diner        8
    589                        waiter        8
    507         office worker at desk        8
    497               train conductor        8
     86          construction workers        8
    388             medical assistant        8
    275                 court officer        8
    760                  receptionist        8
    760                       janitor        8
    740                    saleswoman        8
    445                  car salesman        8
     49                     bartender        8
    405                       butcher        8
    628                     bartender        8
    385                police officer        8
    487                     bartender        8
    346                    politician        8
    583                  receptionist        8
    491                     lifeguard        8
    184                     bartender        8
    184                        patron        8
    242                     lifeguard        8
    612           construction worker        8
    612                police officer        8
    274                     bartender        8
    366                        barber        8
    366                        barber        8
    171                      salesman        8
     91                police officer        8
     68                      mechanic        8
     68           construction worker        8
      3              hotline operator        8
     87                 office worker        8
    537                police officer        8

Cluster 9:
Cartoon                                     Character  Cluster
    467                                bird in a cage        9
    133                                  flying birds        9
    216                             fairy with hammer        9
    611                                        pigeon        9
    251                                  flying birds        9
    713                       various pieces of candy        9
    334                                      suitcase        9
     94                                    flying cow        9
    437                                oversized bird        9
    460                                        parrot        9
    460                                        parrot        9
    620                                  earth piñata        9
    323                                       peacock        9
    323                                     two birds        9
    381                                   wheelbarrow        9
    623                                          kite        9
    623                                 packaged kite        9
    623                                 elephant kite        9
    623                                    small kite        9
     23                                     butterfly        9
    623                   flying elephant-shaped kite        9
     23                                     butterfly        9
    520                                   banana peel        9
    737                             beanstalk climber        9
    721                                    toy shovel        9
    721                                    toy bucket        9
    346                                  flying angel        9
    632                              matryoshka dolls        9
    331 only a depiction of a flying saucer and a car        9
    576                                        cocoon        9

Cluster 10:
Cartoon             Character  Cluster
    666             therapist       10
    631                  chef       10
    365             detective       10
    220                doctor       10
     51                lawyer       10
     51                 judge       10
    144          psychiatrist       10
    386          veterinarian       10
    742                  chef       10
    129                doctor       10
     71                doctor       10
    345      medical examiner       10
    353                 nurse       10
    353                doctor       10
     30                doctor       10
     30             detective       10
    610                  chef       10
    651                doctor       10
    165                  cook       10
    165                  cook       10
    535                driver       10
      1             scientist       10
    364             detective       10
    416          psychologist       10
    494         psychoanalyst       10
    660                doctor       10
    230                driver       10
    748                  chef       10
    565                doctor       10
    533             scientist       10
    122                 judge       10
     56             scientist       10
    732                lawyer       10
    732                 judge       10
    724                author       10
    231                doctor       10
     37                 judge       10
     37              attorney       10
    354                doctor       10
    207                doctor       10
     99                doctor       10
    250                doctor       10
    196             scientist       10
    483             therapist       10
    179                doctor       10
    642                  chef       10
    455             therapist       10
    571                  chef       10
    208                driver       10
    199                lawyer       10
    199                 judge       10
    272                driver       10
    730       human scientist       10
    419                doctor       10
    177                doctor       10
    208                driver       10
    199                lawyer       10
    199                 judge       10
    272                driver       10
    360                  chef       10
    419                doctor       10
    602                doctor       10
    602 doctor with clipboard       10
    252             detective       10
    189                doctor       10
    388               surgeon       10
    388                 nurse       10
    388      anesthesiologist       10
    275                 judge       10
    275                lawyer       10
    326          psychiatrist       10
    408                doctor       10
    664                 judge       10
    664                lawyer       10
    756          psychiatrist       10
    613             scientist       10
    255             counselor       10
    107               teacher       10
    110                 nurse       10
    110                doctor       10
    147                lawyer       10
    147                 judge       10
    106             scientist       10
    700            pharmacist       10
    612             detective       10
    262          psychiatrist       10
     29             scientist       10

Cluster 11:
Cartoon                 Character  Cluster
    148                     devil       11
    467                     birds       11
    758                      tree       11
    144                      fish       11
    502                      tree       11
    596                     witch       11
    650                      lamp       11
    187                     angel       11
    240                      bird       11
    692                    dragon       11
    470                     ghost       11
    759                      fish       11
    562                      fish       11
    562                      bird       11
    519                     birds       11
    441                      fish       11
    103                      bird       11
    251                     angel       11
    314                      bird       11
    590                    dragon       11
     41                     witch       11
    322                       ant       11
    524                    dragon       11
    174                      bird       11
     94                     angel       11
    532                     birds       11
      7                      moon       11
    564                       owl       11
    437                      bird       11
    509                      bear       11
    509                      fish       11
    620 angel with a baseball bat       11
    620                     angel       11
    118                     angel       11
    587                      deer       11
    483                     angel       11
      8                      fish       11
    746                      bird       11
    316                      bird       11
    551                      wave       11
      7                      moon       11
      7                      moon       11
      7                      moon       11
    639                    dragon       11
    402                      deer       11
    402                      deer       11
    121                   flowers       11
    526                     angel       11
    570                     birds       11
    136                      bird       11
    680                      bear       11
    454                     angel       11
    141                     angel       11
    141                     demon       11
    442                     angel       11
    442                     devil       11
    639                    dragon       11
    402                      deer       11
    402                      deer       11
    121                      ants       11
    571                    anchor       11
    526                     angel       11
    176                      bird       11
    570                     birds       11
    680                      bear       11
    454                     angel       11
    141                     angel       11
    141                     devil       11
    442                     angel       11
    442                     devil       11
    585                     genie       11
    127                      bird       11
     12                      bird       11
    668                    dragon       11
    393                     witch       11
    106                    plants       11
    346                    angels       11
    653                      bird       11
    389                      fish       11
    576                      tree       11
    167                      bear       11
    167                      bird       11
    167                      frog       11

Cluster 12:
Cartoon                                                                                                    Character  Cluster
    148                                                                                                       wizard       12
    148                                                                                         native tribal person       12
     51                                                                                                    defendant       12
    172                                                                                                 smiling face       12
    349                                                                                                     waitress       12
    758                                                                                     person at lemonade stand       12
    758                                                                                             person on stairs       12
    758                                                                                                          car       12
    502                                                                                                   two adults       12
    607                                                                                              deceased person       12
    345                                                                                              deceased person       12
    580                                                                                                         king       12
    186                                                                                                    followers       12
    581                                                                                             religious figure       12
    581                                                                                              hand with a pen       12
    578                                                                                              group of people       12
    738                                                                                                       aliens       12
    153                                                                                    group of workers clapping       12
    153                                                                                          observer at doorway       12
    112                                                                there are no characters to list in this image       12
    407                                                                                          adults in a sandbox       12
    407                                                                                                    onlookers       12
    165                                                                                                         king       12
    309                                                                                             screaming person       12
    309                                                                                                scared person       12
    427                                                                                           blindfolded person       12
    427                                                                                                zombie couple       12
    489                                                                                                        sorry       12
    489                                                                             i can't assist with that request       12
    260                                                                                        person with a sweater       12
    688                                                                                                       person       12
    688                                                                                                       person       12
    683                                                                                                person waving       12
    683                                                                                              person standing       12
    729                                                                                                         king       12
    729                                                                                                        queen       12
    528                                                                                                    presenter       12
    528                                                                                             audience members       12
    656                                                                                                       reader       12
    617                                                                                           people watching tv       12
    660                                                                                                         king       12
    334                                                                                            annoyed passenger       12
    699                                                                                      boy sitting on recliner       12
    226                                                                                                 alien doctor       12
    709                                                                                            distressed people       12
     82                                                                                                        sorry       12
     82                                                                             i can't provide that information       12
    477                                                                                                          pen       12
    134                                                                                          charging smartphone       12
    134                                                                                          sleeping smartphone       12
    358                                                                                          mover with overalls       12
    572                                                                                                       person       12
    572                                                                                              standing person       12
    572                                                                                        person holding a ball       12
    572                                                                                       person with a backpack       12
    749                                                                                                    onlookers       12
    732                                                                                         witness (teddy bear)       12
    118                                                                                      angel in the background       12
    374                                                                                                      speaker       12
    374                                                                                              deceased person       12
    374                                                                                                       guests       12
    661                                                                                   skater with one leg lifted       12
    661                                                                                    skater with hands on hips       12
    180                                                                                  person wearing a skull mask       12
    180                                                                                               person sitting       12
    180                                                                                        person drinking water       12
     37                                                                                                    defendant       12
    211                                                                                                        alien       12
    704                                                                                                    bystander       12
    207                                                                                     patient with a long tail       12
    600                                                                                                        alien       12
    600                                                                                                        alien       12
    417                                                                                    person at back of vehicle       12
    682                                                                                             animated cookies       12
    397                                                                                     personification of death       12
    245                                                                                             person in a boat       12
    496                                                                                                     neighbor       12
    707                                                                                    person carrying the world       12
    357                                                                                             crossword puzzle       12
    642                                                                                                   pedestrian       12
      8                                                                                               elderly person       12
      8                                                                                          miniaturized person       12
    711                                                                                                    spectator       12
    603                                                                                                       diners       12
    697                                                                                              barefoot person       12
    551                                                                                    group of people in a boat       12
    134                                                                                               charging robot       12
    134                                                                                               sleeping robot       12
     18                                                                        there are no characters in this image       12
    117                                                                                                        sorry       12
    117                                   i can't help with identifying or making assumptions about people in images       12
    530                                                                                                         king       12
    249                                                                                                       person       12
    422                                                                                                pile of trash       12
    434                                                                                                      tin man       12
    434                                                                                                      dorothy       12
    658                                                                                        gamer with headphones       12
    658                                                                                 person sitting at a computer       12
    658                                                                                    person on a rolling chair       12
    658                                                                             person crouching with headphones       12
    336                                                                                                    presenter       12
    336                                                                                             person on screen       12
    336                                                                                             audience members       12
     14                                                                                                    mannequin       12
    320                                                                                                castle towers       12
    232                                                                                             person on laptop       12
    377                                                                                      rat reading a newspaper       12
    233                                                                                                     mobsters       12
    337                                                                                                unfortunately       12
    337                                                                            i cannot assist with that request       12
    675                                                                                                    partygoer       12
    675                                                                                                   partygoers       12
    198                                                                                                   figurehead       12
    659                                                                                        blender-headed figure       12
    209                                                                                              standing patron       12
    435                                                                                           baby in a stroller       12
     39                                                                                                  focused man       12
    116                                                                                                        alien       12
    116                                                                                               cartoon editor       12
    454                                                                                                       person       12
     58                                                                                       adult reading to child       12
     58                                                                                              adult listening       12
    679                                                                                                         king       12
    747                                                                                           person upside down       12
    506                                                                                       person in a guillotine       12
    510                                                                                            person lying down       12
    510                                                                                               person sitting       12
    510                                                                                                person eating       12
    530                                                                                                         king       12
    422                                                                                              pile of objects       12
    434                                                                                                      tin man       12
